Principais culturas temporárias (Ilha de São Jorge - Velas),,,,,,,,,,,,
,,,,,,,,,,,,pág. 4/7
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Ilha da Graciosa (Santa Cruz da Graciosa),,,,,,,,,,,
,Culturas temporárias,,   728 ,   853 ,   700 ,   546 ,   449 ,   307 ,   437 ,   305 ,   12 ,o 
,Cereais para grão,,   451 ,   159 ,   451 ,   159 ,- ,- ,- ,- ,- ,- 
,Leguminosas secas para grão,,   304 ,   24 ,   300 ,   23 ,   5 ,   1 ,   5 ,   1 ,- ,- 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,   502 ,   617 ,   212 ,   315 ,   417 ,   300 ,   417 ,   300 ,- ,- 
,Batata,,   54 ,   3 ,   44 ,   3 ,   11 ,o ,   1 ,... ,   10 ,o 
,Beterraba sacarina,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   371 ,   42 ,   369 ,   41 ,   3 ,o ,   1 ,... ,   2 ,... 
,Flores e plantas ornamentais,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,   82 ,   7 ,   72 ,   3 ,   13 ,   4 ,   13 ,   4 ,- ,- 
,Ilha de São Jorge,,,,,,,,,,,
,Culturas temporárias,,   953 ,  1 184 ,   929 ,   690 ,   616 ,   494 ,   592 ,   490 ,   41 ,   5 
,Cereais para grão,,   524 ,   207 ,   480 ,   137 ,   141 ,   69 ,   138 ,   69 ,   3 ,o 
,Leguminosas secas para grão,,   228 ,   13 ,   197 ,   11 ,   36 ,   2 ,   19 ,   1 ,   17 ,   1 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,   603 ,   886 ,   490 ,   475 ,   422 ,   413 ,   422 ,   413 ,- ,- 
,Batata,,   610 ,   51 ,   573 ,   43 ,   50 ,   7 ,   15 ,   3 ,   36 ,   4 
,Beterraba sacarina,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   81 ,   9 ,   80 ,   8 ,   2 ,... ,   2 ,... ,- ,- 
,Flores e plantas ornamentais,,   4 ,o ,   4 ,o ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,   265 ,   16 ,   253 ,   13 ,   18 ,   2 ,   18 ,   2 ,- ,- 
,,Calheta,,,,,,,,,,
,,Culturas temporárias,   493 ,   704 ,   486 ,   374 ,   391 ,   330 ,   380 ,   328 ,   27 ,   3 
,,Cereais para grão,   375 ,   169 ,   334 ,   101 ,   138 ,   67 ,   135 ,   67 ,   3 ,o 
,,Leguminosas secas para grão,   152 ,   9 ,   135 ,   8 ,   20 ,   2 ,   5 ,   1 ,   15 ,   1 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   348 ,   490 ,   292 ,   235 ,   243 ,   259 ,   243 ,   259 ,- ,- 
,,Batata,   299 ,   24 ,   279 ,   21 ,   27 ,   3 ,   6 ,   1 ,   22 ,   2 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   19 ,   2 ,   19 ,   2 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   150 ,   9 ,   150 ,   9 ,- ,- ,- ,- ,- ,- 
,,Velas,,,,,,,,,,
,,Culturas temporárias,   460 ,   480 ,   443 ,   316 ,   225 ,   164 ,   212 ,   162 ,   14 ,   2 
,,Cereais para grão,   149 ,   38 ,   146 ,   36 ,   3 ,   2 ,   3 ,   2 ,- ,- 
,,Leguminosas secas para grão,   76 ,   4 ,   62 ,   3 ,   16 ,o ,   14 ,o ,   2 ,... 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   255 ,   396 ,   198 ,   240 ,   179 ,   154 ,   179 ,   154 ,- ,- 
,,Batata,   311 ,   27 ,   294 ,   22 ,   23 ,   4 ,   9 ,   2 ,   14 ,   2 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   62 ,   7 ,   61 ,   6 ,   2 ,... ,   2 ,... ,- ,- 
,,Flores e plantas ornamentais,   3 ,o ,   3 ,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   115 ,   7 ,   103 ,   4 ,   18 ,   2 ,   18 ,   2 ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,
