Utilização das terras (Beira Interior Sul),,,,,,,
,,,,,,,1999
,,,,,,,pág. 4/5
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão
Superfície Total,,expl (nº),"9,656","4,740","2,143","1,644","1,129"
,,área (ha),"232,586","84,472","108,088","23,116","16,910"
Superfície Agrícola Utilizada (SAU),,expl (nº),"9,598","4,723","2,125","1,638","1,112"
,,área (ha),"169,073","56,437","90,777","14,329","7,530"
Terra arável,,expl (nº),"7,607","3,687","1,680","1,385",855
,,área (ha),"62,479","20,510","34,677","5,388","1,904"
Terra arável limpa,,expl (nº),"7,574","3,675","1,670","1,383",846
,,área (ha),"58,559","18,927","32,616","5,336","1,680"
,Culturas temporárias,expl (nº),"5,105","2,468","1,138",996,503
,,área (ha),"43,207","14,581","22,777","4,455","1,394"
,Pousio (com e sem ajuda),expl (nº),"1,584",715,599,236,34
,,área (ha),"14,652","4,025","9,701",745,181
,Horta familiar,expl (nº),"6,532","3,265","1,326","1,182",759
,,área (ha),697,318,139,134,106
Culturas sob-coberto matas e florestas,,expl (nº),215,84,84,12,35
,,área (ha),"3,918","1,582","2,062",51,223
,Culturas temporárias,expl (nº),192,80,70,7,35
,,área (ha),"3,116","1,439","1,437",18,222
,Pousio (com e sem ajuda),expl (nº),44,10,28,5,1
,,área (ha),802,143,625,33,... 
Culturas permanentes,,expl (nº),"9,280","4,614","1,976","1,592","1,098"
,,área (ha),"30,277","13,597","8,602","3,910","4,168"
Sem culturas sob-coberto,,expl (nº),"8,204","4,114","1,474","1,547","1,069"
,,área (ha),"21,614","9,805","5,014","3,261","3,534"
Com culturas temporárias,,expl (nº),"2,504","1,268",531,401,304
,,área (ha),"3,536","1,468","1,231",431,406
Com pousio (com e sem ajuda),,expl (nº),34,5,21,7,1
,,área (ha),87,13,68,5,... 
Com horta familiar,,expl (nº),"1,182",782,149,139,112
,,área (ha),105,67,14,12,12
Com pastagens permanentes,,expl (nº),"1,262",722,449,30,61
,,área (ha),"4,929","2,242","2,275",198,214
Pastagens permanentes,,expl (nº),"2,926","1,364",882,428,252
,,área (ha),"76,326","22,334","47,499","5,033","1,460"
Em terra limpa,,expl (nº),"2,427","1,165",637,382,243
,,área (ha),"46,688","12,807","28,586","4,074","1,221"
Sob-coberto de matas e florestas,,expl (nº),"1,082",458,533,72,19
,,área (ha),"29,638","9,526","18,915",959,238
Matas e florestas sem culturas sob-coberto,,expl (nº),"5,409","2,751",740,"1,013",905
,,área (ha),"52,518","24,328","13,365","6,901","7,924"
Superfície Agrícola não utilizada,,expl (nº),"3,493","1,543",541,761,648
,,área (ha),"9,531","3,105","3,357","1,720","1,349"
Outras superfícies,,expl (nº),"8,269","4,035","1,665","1,490","1,079"
,,área (ha),"1,470",607,589,167,107
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Centro."
