Explorações segundo o número de ovinos,,,,,,,,,,,
,,,,,,,,,,,1999
Região Agrária,,,,Total,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,,1 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 499,> = 500
Trás os Montes ,,,expl (nº),"5,363","1,904",647,722,705,"1,040",340,5
,,,efect (nº),"325,519","6,965","8,610","22,395","50,609","143,017","90,938","2,985"
,Douro,,expl (nº),"1,614",702,188,234,189,237,64,- 
,,,efect (nº),"74,610","2,691","2,448","7,156","13,330","32,238","16,747",- 
,,Alijó,expl (nº),69,33,5,18,10,2,1,- 
,,,efect (nº),"1,921",121,67,595,671,... ,... ,- 
,,Armamar,expl (nº),16,11,- ,2,1,2,- ,- 
,,,efect (nº),417,42,- ,... ,... ,... ,- ,- 
,,Carrazeda de Ansiães,expl (nº),70,17,7,11,10,19,6,- 
,,,efect (nº),"5,221",86,99,353,694,"2,407","1,582",- 
,,Freixo de Espada à Cinta,expl (nº),58,5,5,13,7,21,7,- 
,,,efect (nº),"5,619",17,68,437,507,"2,999","1,591",- 
,,Lamego,expl (nº),193,108,42,30,11,- ,2,- 
,,,efect (nº),"3,089",429,557,827,786,- ,... ,- 
,,Mesão Frio,expl (nº),21,17,3,1,- ,- ,- ,- 
,,,efect (nº),116,59,34,... ,- ,- ,- ,- 
,,Moimenta da Beira,expl (nº),83,31,9,13,15,14,1,- 
,,,efect (nº),"3,755",113,125,409,"1,009","1,875",... ,- 
,,Penedono,expl (nº),46,10,6,8,10,8,4,- 
,,,efect (nº),"3,509",46,74,258,749,"1,132","1,250",- 
,,Peso da Régua,expl (nº),62,42,8,8,3,1,- ,- 
,,,efect (nº),783,151,104,236,191,... ,- ,- 
,,Sabrosa,expl (nº),64,45,3,6,7,2,1,- 
,,,efect (nº),"1,352",151,34,158,433,... ,... ,- 
,,Santa Marta de Penaguião,expl (nº),29,22,3,1,1,- ,2,- 
,,,efect (nº),745,87,36,... ,... ,- ,... ,- 
,,São João da Pesqueira,expl (nº),35,10,2,3,6,11,3,- 
,,,efect (nº),"3,152",26,... ,99,442,"1,633",925,- 
,,Sernancelhe,expl (nº),53,18,7,8,8,11,1,- 
,,,efect (nº),"2,732",54,87,269,585,"1,498",... ,- 
,,Tabuaço,expl (nº),27,10,3,6,3,4,1,- 
,,,efect (nº),"1,134",31,39,149,165,550,... ,- 
,,Tarouca,expl (nº),129,95,23,11,- ,- ,- ,- 
,,,efect (nº),954,347,295,312,- ,- ,- ,- 
,,Torre de Moncorvo,expl (nº),168,4,5,21,47,68,23,- 
,,,efect (nº),"19,472",20,62,663,"3,437","9,188","6,102",- 
,,Vila Flor,expl (nº),86,14,5,18,17,28,4,- 
,,,efect (nº),"6,708",53,68,572,"1,142","3,788","1,085",- 
,,Vila Nova de Foz Côa,expl (nº),89,6,6,13,17,42,5,- 
,,,efect (nº),"8,687",43,70,347,"1,286","5,764","1,177",- 
,,Vila Real,expl (nº),316,204,46,43,16,4,3,- 
,,,efect (nº),"5,244",815,602,"1,351","1,091",560,825,- 
,Alto Trás os Montes ,,expl (nº),"3,749","1,202",459,488,516,803,276,5
,,,efect (nº),"250,909","4,274","6,162","15,239","37,279","110,779","74,191","2,985"
,,Alfândega da Fé,expl (nº),92,17,3,6,25,35,6,- 
,,,efect (nº),"8,716",83,42,168,"1,820","4,814","1,789",- 
,,Boticas,expl (nº),140,65,23,27,12,10,3,- 
,,,efect (nº),"4,392",190,305,872,785,"1,535",705,- 
,,Bragança,expl (nº),487,120,58,61,55,124,67,2
,,,efect (nº),"43,953",484,790,"1,838","4,043","18,168","17,525",... 
,,Chaves,expl (nº),413,179,52,35,81,52,14,- 
,,,efect (nº),"18,281",561,685,"1,120","5,665","6,876","3,374",- 
,,Macedo de Cavaleiros,expl (nº),264,37,32,28,37,106,23,1
,,,efect (nº),"26,036",179,420,978,"2,647","14,753","6,459",... 
,,Miranda do Douro,expl (nº),247,100,19,15,14,46,51,2
,,,efect (nº),"24,604",314,242,471,"1,067","6,907","14,323",... 
,,Mirandela,expl (nº),334,69,25,50,64,108,18,- 
,,,efect (nº),"25,279",248,339,"1,572","4,812","13,796","4,512",- 
,,Mogadouro,expl (nº),258,31,20,38,49,92,28,- 
,,,efect (nº),"26,043",133,265,"1,217","3,683","13,269","7,476",- 
,,Montalegre,expl (nº),509,218,123,116,26,21,5,- 
,,,efect (nº),"12,146",914,"1,675","3,390","1,864","2,838","1,465",- 
,,Murça,expl (nº),92,53,10,13,10,6,- ,- 
,,,efect (nº),"2,183",164,128,419,725,747,- ,- 
,,Valpaços,expl (nº),326,159,26,25,63,48,5,- 
,,,efect (nº),"13,306",402,356,846,"4,587","6,024","1,091",- 
,,Vila Pouca de Aguiar,expl (nº),214,77,45,42,32,17,1,- 
,,,efect (nº),"6,677",301,614,"1,310","2,027","2,150",... ,- 
,,Vimioso,expl (nº),116,17,6,11,9,43,30,- 
,,,efect (nº),"15,415",69,82,358,619,"5,866","8,421",- 
,,Vinhais,expl (nº),257,60,17,21,39,95,25,- 
,,,efect (nº),"23,878",232,219,680,"2,935","13,036","6,776",- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
,,,,,,,,,,,
