Produtor singular segundo a OTE e as classes de idade (Não Classificado / Baixo Alentejo),,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 12/14,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,
,Portel,,,,,,,,,,,,,,,,
,Total,   742 ,- ,   54 ,   7 ,   64 ,   25 ,   17 ,   17 ,   75 ,   3 ,,,,,,
,15 - 24,   3 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 ,,,,,,
,25 - 34,   31 ,- ,   4 ,   2 ,   3 ,   2 ,   1 ,   2 ,   5 ,- ,,,,,,
,35 - 44,   64 ,- ,   7 ,   2 ,   4 ,   1 ,   3 ,   5 ,   8 ,   1 ,,,,,,
,45 - 54,   104 ,- ,   13 ,   1 ,   12 ,   6 ,   6 ,   3 ,   13 ,- ,,,,,,
,55 - 64,   187 ,- ,   14 ,   1 ,   15 ,   8 ,   2 ,   5 ,   24 ,- ,,,,,,
,>= 65,   353 ,- ,   16 ,   1 ,   30 ,   8 ,   5 ,   2 ,   25 ,   1 ,,,,,,
,Redondo,,,,,,,,,,,,,,,,
,Total,   644 ,   4 ,   97 ,   13 ,   60 ,   14 ,   14 ,   7 ,   57 ,   9 ,,,,,,
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   38 ,   1 ,   8 ,- ,   3 ,- ,   1 ,- ,   3 ,   2 ,,,,,,
,35 - 44,   56 ,   1 ,   11 ,   2 ,   3 ,- ,   1 ,   1 ,   6 ,- ,,,,,,
,45 - 54,   98 ,   2 ,   17 ,   2 ,   8 ,   2 ,   1 ,   1 ,   10 ,   2 ,,,,,,
,55 - 64,   177 ,- ,   25 ,   7 ,   19 ,   5 ,   3 ,   3 ,   18 ,- ,,,,,,
,>= 65,   275 ,- ,   36 ,   2 ,   27 ,   7 ,   8 ,   2 ,   20 ,   5 ,,,,,,
,Reguengos de Monsaraz,,,,,,,,,,,,,,,,
,Total,   966 ,   1 ,   43 ,   20 ,   118 ,   8 ,   12 ,   24 ,   51 ,   25 ,,,,,,
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   38 ,   1 ,   2 ,   1 ,   6 ,- ,- ,   4 ,   4 ,- ,,,,,,
,35 - 44,   90 ,- ,   4 ,   3 ,   12 ,- ,   2 ,   2 ,   2 ,   2 ,,,,,,
,45 - 54,   162 ,- ,   5 ,   3 ,   17 ,   3 ,   1 ,   10 ,   11 ,   5 ,,,,,,
,55 - 64,   244 ,- ,   14 ,   3 ,   24 ,   1 ,   4 ,   4 ,   11 ,   5 ,,,,,,
,>= 65,   432 ,- ,   18 ,   10 ,   59 ,   4 ,   5 ,   4 ,   23 ,   13 ,,,,,,
,Sousel,,,,,,,,,,,,,,,,
,Total,   507 ,   7 ,   68 ,   4 ,   62 ,   5 ,   3 ,   15 ,   28 ,   16 ,,,,,,
,15 - 24,   3 ,- ,   1 ,- ,- ,- ,- ,   1 ,- ,- ,,,,,,
,25 - 34,   28 ,   3 ,   1 ,- ,   4 ,- ,- ,   1 ,   3 ,   1 ,,,,,,
,35 - 44,   45 ,   3 ,   8 ,   1 ,   3 ,   1 ,- ,   1 ,   7 ,   2 ,,,,,,
,45 - 54,   66 ,   1 ,   11 ,   2 ,   4 ,   2 ,- ,   1 ,   2 ,   3 ,,,,,,
,55 - 64,   124 ,- ,   19 ,- ,   16 ,   1 ,- ,   2 ,   6 ,   4 ,,,,,,
,>= 65,   241 ,- ,   28 ,   1 ,   35 ,   1 ,   3 ,   9 ,   10 ,   6 ,,,,,,
,Vendas Novas,,,,,,,,,,,,,,,,
,Total,   219 ,- ,   28 ,   8 ,   27 ,   4 ,   10 ,   4 ,   14 ,- ,,,,,,
,15 - 24,   2 ,- ,- ,   1 ,- ,- ,   1 ,- ,- ,- ,,,,,,
,25 - 34,   7 ,- ,   1 ,   1 ,   1 ,- ,- ,- ,- ,- ,,,,,,
,35 - 44,   11 ,- ,   1 ,   1 ,   3 ,   1 ,   1 ,- ,- ,- ,,,,,,
,45 - 54,   57 ,- ,   10 ,   4 ,   6 ,   1 ,   1 ,   3 ,   1 ,- ,,,,,,
,55 - 64,   68 ,- ,   8 ,- ,   11 ,- ,   6 ,- ,   8 ,- ,,,,,,
,>= 65,   74 ,- ,   8 ,   1 ,   6 ,   2 ,   1 ,   1 ,   5 ,- ,,,,,,
,Viana do Alentejo,,,,,,,,,,,,,,,,
,Total,   297 ,   1 ,   66 ,   4 ,   24 ,   15 ,   7 ,   21 ,   40 ,   1 ,,,,,,
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   10 ,- ,   3 ,- ,- ,- ,   1 ,   1 ,   2 ,- ,,,,,,
,35 - 44,   33 ,- ,   10 ,- ,   3 ,   1 ,   1 ,   5 ,   4 ,- ,,,,,,
,45 - 54,   55 ,   1 ,   13 ,- ,   3 ,   1 ,   2 ,   3 ,   9 ,- ,,,,,,
,55 - 64,   72 ,- ,   15 ,   2 ,   6 ,   4 ,   2 ,   6 ,   10 ,- ,,,,,,
,>= 65,   126 ,- ,   25 ,   2 ,   12 ,   9 ,   1 ,   6 ,   15 ,   1 ,,,,,,
,Vila Viçosa,,,,,,,,,,,,,,,,
,Total,   302 ,- ,   47 ,   5 ,   16 ,   12 ,   7 ,   10 ,   34 ,   3 ,,,,,,
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   12 ,- ,   1 ,- ,- ,- ,- ,   1 ,- ,- ,,,,,,
,35 - 44,   29 ,- ,   9 ,- ,   2 ,   1 ,   1 ,   1 ,   1 ,- ,,,,,,
,45 - 54,   47 ,- ,   10 ,   1 ,   3 ,   2 ,   3 ,   1 ,   5 ,   2 ,,,,,,
,55 - 64,   83 ,- ,   12 ,   2 ,   1 ,   3 ,- ,   6 ,   11 ,- ,,,,,,
,>= 65,   131 ,- ,   15 ,   2 ,   10 ,   6 ,   3 ,   1 ,   17 ,   1 ,,,,,,
Baixo Alentejo,,,,,,,,,,,,,,,,,
Total,,  9 471 ,   5 ,  1 435 ,   237 ,   830 ,   242 ,   204 ,   484 ,   447 ,   111 ,,,,,,
15 - 24,,   47 ,- ,   16 ,   3 ,   2 ,- ,   1 ,   2 ,   3 ,- ,,,,,,
25 - 34,,   476 ,- ,   103 ,   14 ,   35 ,   13 ,   11 ,   53 ,   18 ,   3 ,,,,,,
35 - 44,,  1 170 ,   2 ,   191 ,   32 ,   107 ,   27 ,   25 ,   94 ,   56 ,   11 ,,,,,,
45 - 54,,  1 669 ,- ,   256 ,   45 ,   145 ,   56 ,   48 ,   81 ,   77 ,   19 ,,,,,,
55 - 64,,  2 446 ,   3 ,   372 ,   58 ,   204 ,   85 ,   61 ,   148 ,   137 ,   19 ,,,,,,
>= 65,,  3 663 ,- ,   497 ,   85 ,   337 ,   61 ,   58 ,   106 ,   156 ,   59 ,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,
